station_code,ogd_name,osm_name,osm_id,match_method,match_confidence,match_status,lat,lon,wikidata
PBM,Pamban,Pamban,node/5305955344,exact_code,HIGH,MATCHED,9.280194,79.2138929,Q63358144
KZB,Kurumbur,Kurumbur,node/5351824969,exact_code,HIGH,MATCHED,8.5856868,78.0394315,Q63355247
ANY,Arumuganeri,Arumuganeri,node/5351825019,exact_code,HIGH,MATCHED,8.5794484,78.092,Q24886232
KZY,Kayalpattina,Kayalpattinam,node/5351826024,exact_code,HIGH,MATCHED,8.5677868,78.1003644,Q63355210
TCN,Tiruchendur,Tiruchendur,node/706924007,exact_code,HIGH,MATCHED,8.5024637,78.1173,Q17118082
CBU,Chinnnababu,Chinnababu Samudram,node/5301762167,exact_code,HIGH,MATCHED,11.9196011,79.6866894,Q63357365
KON,Kudalnagar,Kudalnagar,node/5338159684,exact_code,HIGH,MATCHED,9.9467225,78.1051636,Q63355801
PEM,Peralam Jn.,Peralam Junction,node/5302474677,exact_code,HIGH,MATCHED,10.9582262,79.6570624,Q23022449
NMJ,Nidamangalam,Nidamangalam Junction,node/5303104583,exact_code,HIGH,MATCHED,10.7737675,79.4138444,Q24943229
MQ,Mannargudi,Mannargudi,node/5303104596,exact_code,HIGH,MATCHED,10.675141,79.4553714,Q24943225
NKK,Narikkudi,Narikkudi,node/5239465206,exact_code,HIGH,MATCHED,9.59257,78.2998824,Q63369306
TCH,Tiruchchuli,Tiruchchuli,node/5306231354,exact_code,HIGH,MATCHED,9.5377389,78.1984023,Q63369003
APK,Aruppukkotta,Aruppukkottai,node/5306231356,exact_code,HIGH,MATCHED,9.5246264,78.1028808,Q16868954
PRT,Panruti,Panruti,node/5300620015,exact_code,HIGH,MATCHED,11.7731017,79.5547343,Q21886145
VDL,Vaithisvaran,Vithisvarankol,node/5300704874,exact_code,HIGH,MATCHED,11.1958101,79.7038518,Q63355645
KTM,Kutralam,Kuthalam,node/5300783981,exact_code,HIGH,MATCHED,11.0699202,79.5571951,Q63355139
ADT,Aduthurai,Aduturai,node/5300783990,exact_code,HIGH,MATCHED,11.0090995,79.4784333,Q63354634
BAL,Budalur,Budalur,node/5300868131,exact_code,HIGH,MATCHED,10.7828722,78.9810094,Q25549477
TP,Tiruchirappa,Tiruchchirapalli Fort,node/5303863768,exact_code,HIGH,MATCHED,10.8256954,78.6890508,Q7809307
KLT,Kulitalai,Kulithalai,node/4112304449,exact_code,HIGH,MATCHED,10.9335519,78.4210459,Q63356512
SME,Shimoga,Meenambakkam,node/6285857239,exact_code,HIGH,MATCHED,12.9876728,80.1764787,Q19893884
TRB,Tiruverumbur,Tiruverumbur,node/5300868165,exact_code,HIGH,MATCHED,10.787533,78.7765678,Q63355599
