station_code,station_name,osm_name,lat,lon,wikidata,match_status,match_method,match_confidence,source_ogd,source_osm
MMM,Mandapam,Mandapam,9.280778,79.157276,Q63355261,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PBM,Pamban,Pamban,9.280194,79.2138929,Q63358144,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KZB,Kurumbur,Kurumbur,8.5856868,78.0394315,Q63355247,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
ANY,Arumuganeri,Arumuganeri,8.5794484,78.092,Q24886232,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KZY,Kayalpattina,Kayalpattinam,8.5677868,78.1003644,Q63355210,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TCN,Tiruchendur,Tiruchendur,8.5024637,78.1173,Q17118082,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
CBU,Chinnnababu,Chinnababu Samudram,11.9196011,79.6866894,Q63357365,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KON,Kudalnagar,Kudalnagar,9.9467225,78.1051636,Q63355801,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PEM,Peralam Jn.,Peralam Junction,10.9582262,79.6570624,Q23022449,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
NMJ,Nidamangalam,Nidamangalam Junction,10.7737675,79.4138444,Q24943229,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MQ,Mannargudi,Mannargudi,10.675141,79.4553714,Q24943225,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
NKK,Narikkudi,Narikkudi,9.59257,78.2998824,Q63369306,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TCH,Tiruchchuli,Tiruchchuli,9.5377389,78.1984023,Q63369003,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
APK,Aruppukkotta,Aruppukkottai,9.5246264,78.1028808,Q16868954,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PRT,Panruti,Panruti,11.7731017,79.5547343,Q21886145,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
